From Date,To Date,PM2.5
02-12-2018 04:00,02-12-2018 08:00,
02-12-2018 08:00,02-12-2018 12:00,
02-12-2018 12:00,02-12-2018 16:00,
02-12-2018 16:00,02-12-2018 20:00,
02-12-2018 20:00,03-12-2018 00:00,
03-12-2018 00:00,03-12-2018 04:00,
03-12-2018 04:00,03-12-2018 08:00,
03-12-2018 08:00,03-12-2018 12:00,
03-12-2018 12:00,03-12-2018 16:00,
03-12-2018 16:00,03-12-2018 20:00,
03-12-2018 20:00,04-12-2018 00:00,
04-12-2018 00:00,04-12-2018 04:00,
04-12-2018 04:00,04-12-2018 08:00,
04-12-2018 08:00,04-12-2018 12:00,
04-12-2018 12:00,04-12-2018 16:00,80.92
04-12-2018 16:00,04-12-2018 20:00,84.73
04-12-2018 20:00,05-12-2018 00:00,81.47
05-12-2018 00:00,05-12-2018 04:00,81
05-12-2018 04:00,05-12-2018 08:00,90.4
05-12-2018 08:00,05-12-2018 12:00,91.67
05-12-2018 12:00,05-12-2018 16:00,91.27
05-12-2018 16:00,05-12-2018 20:00,92
05-12-2018 20:00,06-12-2018 00:00,91.87
06-12-2018 00:00,06-12-2018 04:00,95.31
06-12-2018 04:00,06-12-2018 08:00,104.6
06-12-2018 08:00,06-12-2018 12:00,93.19
06-12-2018 12:00,06-12-2018 16:00,90.62
06-12-2018 16:00,06-12-2018 20:00,92.07
06-12-2018 20:00,07-12-2018 00:00,99.07
07-12-2018 00:00,07-12-2018 04:00,102.13
07-12-2018 04:00,07-12-2018 08:00,115.47
07-12-2018 08:00,07-12-2018 12:00,103.17
07-12-2018 12:00,07-12-2018 16:00,
07-12-2018 16:00,07-12-2018 20:00,
07-12-2018 20:00,08-12-2018 00:00,
08-12-2018 00:00,08-12-2018 04:00,
08-12-2018 04:00,08-12-2018 08:00,
08-12-2018 08:00,08-12-2018 12:00,
08-12-2018 12:00,08-12-2018 16:00,104.18
08-12-2018 16:00,08-12-2018 20:00,100.07
08-12-2018 20:00,09-12-2018 00:00,111.71
09-12-2018 00:00,09-12-2018 04:00,114.38
09-12-2018 04:00,09-12-2018 08:00,121.56
09-12-2018 08:00,09-12-2018 12:00,118.62
09-12-2018 12:00,09-12-2018 16:00,112
09-12-2018 16:00,09-12-2018 20:00,100
09-12-2018 20:00,10-12-2018 00:00,
10-12-2018 00:00,10-12-2018 04:00,
10-12-2018 04:00,10-12-2018 08:00,
10-12-2018 08:00,10-12-2018 12:00,
10-12-2018 12:00,10-12-2018 16:00,88.75
10-12-2018 16:00,10-12-2018 20:00,87.75
10-12-2018 20:00,11-12-2018 00:00,82.8
11-12-2018 00:00,11-12-2018 04:00,74
11-12-2018 04:00,11-12-2018 08:00,
11-12-2018 08:00,11-12-2018 12:00,76.87
11-12-2018 12:00,11-12-2018 16:00,67.92
11-12-2018 16:00,11-12-2018 20:00,71
11-12-2018 20:00,12-12-2018 00:00,75.33
12-12-2018 00:00,12-12-2018 04:00,61.86
12-12-2018 04:00,12-12-2018 08:00,
12-12-2018 08:00,12-12-2018 12:00,74.43
12-12-2018 12:00,12-12-2018 16:00,67.27
12-12-2018 16:00,12-12-2018 20:00,75.31
12-12-2018 20:00,13-12-2018 00:00,67.8
13-12-2018 00:00,13-12-2018 04:00,79.93
13-12-2018 04:00,13-12-2018 08:00,99
13-12-2018 08:00,13-12-2018 12:00,90.31
13-12-2018 12:00,13-12-2018 16:00,74
13-12-2018 16:00,13-12-2018 20:00,73.86
13-12-2018 20:00,14-12-2018 00:00,76.57
14-12-2018 00:00,14-12-2018 04:00,81
14-12-2018 04:00,14-12-2018 08:00,
14-12-2018 08:00,14-12-2018 12:00,79.33
14-12-2018 12:00,14-12-2018 16:00,71.53
14-12-2018 16:00,14-12-2018 20:00,83.94
14-12-2018 20:00,15-12-2018 00:00,85.5
15-12-2018 00:00,15-12-2018 04:00,84.19
15-12-2018 04:00,15-12-2018 08:00,88.38
15-12-2018 08:00,15-12-2018 12:00,87.33
15-12-2018 12:00,15-12-2018 16:00,79.43
15-12-2018 16:00,15-12-2018 20:00,72.88
15-12-2018 20:00,16-12-2018 00:00,50.73
16-12-2018 00:00,16-12-2018 04:00,57.6
16-12-2018 04:00,16-12-2018 08:00,64.86
16-12-2018 08:00,16-12-2018 12:00,55.42
16-12-2018 12:00,16-12-2018 16:00,50.5
16-12-2018 16:00,16-12-2018 20:00,47.8
16-12-2018 20:00,17-12-2018 00:00,32.81
17-12-2018 00:00,17-12-2018 04:00,26.21
17-12-2018 04:00,17-12-2018 08:00,31.79
17-12-2018 08:00,17-12-2018 12:00,37.15
17-12-2018 12:00,17-12-2018 16:00,25.4
17-12-2018 16:00,17-12-2018 20:00,13.75
17-12-2018 20:00,18-12-2018 00:00,11.14
18-12-2018 00:00,18-12-2018 04:00,
18-12-2018 04:00,18-12-2018 08:00,
18-12-2018 08:00,18-12-2018 12:00,10.33
18-12-2018 12:00,18-12-2018 16:00,1
18-12-2018 16:00,18-12-2018 20:00,6.53
18-12-2018 20:00,19-12-2018 00:00,5.6
19-12-2018 00:00,19-12-2018 04:00,1.93
19-12-2018 04:00,19-12-2018 08:00,2.79
19-12-2018 08:00,19-12-2018 12:00,10.92
19-12-2018 12:00,19-12-2018 16:00,7.14
19-12-2018 16:00,19-12-2018 20:00,12.42
19-12-2018 20:00,20-12-2018 00:00,20.83
20-12-2018 00:00,20-12-2018 04:00,16.47
20-12-2018 04:00,20-12-2018 08:00,11.2
20-12-2018 08:00,20-12-2018 12:00,13.1
20-12-2018 12:00,20-12-2018 16:00,16.93
20-12-2018 16:00,20-12-2018 20:00,44.69
20-12-2018 20:00,21-12-2018 00:00,45.8
21-12-2018 00:00,21-12-2018 04:00,36.29
21-12-2018 04:00,21-12-2018 08:00,46.13
21-12-2018 08:00,21-12-2018 12:00,48.09
21-12-2018 12:00,21-12-2018 16:00,40.46
21-12-2018 16:00,21-12-2018 20:00,45.25
21-12-2018 20:00,22-12-2018 00:00,46.62
22-12-2018 00:00,22-12-2018 04:00,51.23
22-12-2018 04:00,22-12-2018 08:00,59.4
22-12-2018 08:00,22-12-2018 12:00,67.8
22-12-2018 12:00,22-12-2018 16:00,61
22-12-2018 16:00,22-12-2018 20:00,72.85
22-12-2018 20:00,23-12-2018 00:00,79.14
23-12-2018 00:00,23-12-2018 04:00,78.83
23-12-2018 04:00,23-12-2018 08:00,83.62
23-12-2018 08:00,23-12-2018 12:00,97.2
23-12-2018 12:00,23-12-2018 16:00,85.93
23-12-2018 16:00,23-12-2018 20:00,86.75
23-12-2018 20:00,24-12-2018 00:00,93.36
24-12-2018 00:00,24-12-2018 04:00,90
24-12-2018 04:00,24-12-2018 08:00,98.27
24-12-2018 08:00,24-12-2018 12:00,97.2
24-12-2018 12:00,24-12-2018 16:00,80
24-12-2018 16:00,24-12-2018 20:00,84.53
24-12-2018 20:00,25-12-2018 00:00,77.8
25-12-2018 00:00,25-12-2018 04:00,97.19
25-12-2018 04:00,25-12-2018 08:00,140.94
25-12-2018 08:00,25-12-2018 12:00,133.2
25-12-2018 12:00,25-12-2018 16:00,76.25
25-12-2018 16:00,25-12-2018 20:00,84.54
25-12-2018 20:00,26-12-2018 00:00,119.2
26-12-2018 00:00,26-12-2018 04:00,143.13
26-12-2018 04:00,26-12-2018 08:00,143.8
26-12-2018 08:00,26-12-2018 12:00,158.8
26-12-2018 12:00,26-12-2018 16:00,81.73
26-12-2018 16:00,26-12-2018 20:00,81.31
26-12-2018 20:00,27-12-2018 00:00,95.5
27-12-2018 00:00,27-12-2018 04:00,139.21
27-12-2018 04:00,27-12-2018 08:00,133.71
27-12-2018 08:00,27-12-2018 12:00,125.47
27-12-2018 12:00,27-12-2018 16:00,80.07
27-12-2018 16:00,27-12-2018 20:00,91.83
27-12-2018 20:00,28-12-2018 00:00,100.94
28-12-2018 00:00,28-12-2018 04:00,121.33
28-12-2018 04:00,28-12-2018 08:00,133.86
28-12-2018 08:00,28-12-2018 12:00,114.43
28-12-2018 12:00,28-12-2018 16:00,81.6
28-12-2018 16:00,28-12-2018 20:00,66.13
28-12-2018 20:00,29-12-2018 00:00,70
29-12-2018 00:00,29-12-2018 04:00,
29-12-2018 04:00,29-12-2018 08:00,
29-12-2018 08:00,29-12-2018 12:00,82
29-12-2018 12:00,29-12-2018 16:00,76.69
29-12-2018 16:00,29-12-2018 20:00,81.47
29-12-2018 20:00,30-12-2018 00:00,69.27
30-12-2018 00:00,30-12-2018 04:00,69.4
30-12-2018 04:00,30-12-2018 08:00,
30-12-2018 08:00,30-12-2018 12:00,
30-12-2018 12:00,30-12-2018 16:00,
30-12-2018 16:00,30-12-2018 20:00,
30-12-2018 20:00,31-12-2018 00:00,
31-12-2018 00:00,31-12-2018 04:00,
31-12-2018 04:00,31-12-2018 08:00,
31-12-2018 08:00,31-12-2018 12:00,55.09
31-12-2018 12:00,31-12-2018 16:00,52.38
31-12-2018 16:00,31-12-2018 20:00,60.44
31-12-2018 20:00,01-01-2019 00:00,115.46
01-01-2019 00:00,01-01-2019 04:00,207.69
01-01-2019 04:00,01-01-2019 08:00,198.8
01-01-2019 08:00,01-01-2019 12:00,143.31
01-01-2019 12:00,01-01-2019 16:00,61.19
01-01-2019 16:00,01-01-2019 20:00,71.07
01-01-2019 20:00,02-01-2019 00:00,96.71
02-01-2019 00:00,02-01-2019 04:00,163.91
02-01-2019 04:00,02-01-2019 08:00,155.54
02-01-2019 08:00,02-01-2019 12:00,162.67
02-01-2019 12:00,02-01-2019 16:00,83.08
02-01-2019 16:00,02-01-2019 20:00,106.06
02-01-2019 20:00,03-01-2019 00:00,143.29
03-01-2019 00:00,03-01-2019 04:00,181.73
03-01-2019 04:00,03-01-2019 08:00,177.57
03-01-2019 08:00,03-01-2019 12:00,220.43
03-01-2019 12:00,03-01-2019 16:00,83
03-01-2019 16:00,03-01-2019 20:00,100.21
03-01-2019 20:00,04-01-2019 00:00,129.79
04-01-2019 00:00,04-01-2019 04:00,153.93
04-01-2019 04:00,04-01-2019 08:00,158.92
04-01-2019 08:00,04-01-2019 12:00,190
04-01-2019 12:00,04-01-2019 16:00,93.86
04-01-2019 16:00,04-01-2019 20:00,116.08
04-01-2019 20:00,05-01-2019 00:00,131.62
05-01-2019 00:00,05-01-2019 04:00,122.43
05-01-2019 04:00,05-01-2019 08:00,116.13
05-01-2019 08:00,05-01-2019 12:00,118.27
05-01-2019 12:00,05-01-2019 16:00,106.4
05-01-2019 16:00,05-01-2019 20:00,108.23
05-01-2019 20:00,06-01-2019 00:00,124.85
06-01-2019 00:00,06-01-2019 04:00,141.67
06-01-2019 04:00,06-01-2019 08:00,165.88
06-01-2019 08:00,06-01-2019 12:00,139.87
06-01-2019 12:00,06-01-2019 16:00,98.71
06-01-2019 16:00,06-01-2019 20:00,120.14
06-01-2019 20:00,07-01-2019 00:00,125.5
07-01-2019 00:00,07-01-2019 04:00,144.13
07-01-2019 04:00,07-01-2019 08:00,173.87
07-01-2019 08:00,07-01-2019 12:00,137
07-01-2019 12:00,07-01-2019 16:00,81.53
07-01-2019 16:00,07-01-2019 20:00,83.19
07-01-2019 20:00,08-01-2019 00:00,102.58
08-01-2019 00:00,08-01-2019 04:00,125.73
08-01-2019 04:00,08-01-2019 08:00,150.73
08-01-2019 08:00,08-01-2019 12:00,166.33
08-01-2019 12:00,08-01-2019 16:00,112
08-01-2019 16:00,08-01-2019 20:00,107.6
08-01-2019 20:00,09-01-2019 00:00,175.5
09-01-2019 00:00,09-01-2019 04:00,171.08
09-01-2019 04:00,09-01-2019 08:00,206.88
09-01-2019 08:00,09-01-2019 12:00,108.4
09-01-2019 12:00,09-01-2019 16:00,78.71
09-01-2019 16:00,09-01-2019 20:00,107.15
09-01-2019 20:00,10-01-2019 00:00,120.27
10-01-2019 00:00,10-01-2019 04:00,140
10-01-2019 04:00,10-01-2019 08:00,176.64
10-01-2019 08:00,10-01-2019 12:00,165.46
10-01-2019 12:00,10-01-2019 16:00,111.67
10-01-2019 16:00,10-01-2019 20:00,110.8
10-01-2019 20:00,11-01-2019 00:00,115.33
11-01-2019 00:00,11-01-2019 04:00,105.6
11-01-2019 04:00,11-01-2019 08:00,111.93
11-01-2019 08:00,11-01-2019 12:00,106.46
11-01-2019 12:00,11-01-2019 16:00,92.5
11-01-2019 16:00,11-01-2019 20:00,106.19
11-01-2019 20:00,12-01-2019 00:00,114.36
12-01-2019 00:00,12-01-2019 04:00,145.43
12-01-2019 04:00,12-01-2019 08:00,181.75
12-01-2019 08:00,12-01-2019 12:00,127.33
12-01-2019 12:00,12-01-2019 16:00,69.78
12-01-2019 16:00,12-01-2019 20:00,77.64
12-01-2019 20:00,13-01-2019 00:00,95.2
13-01-2019 00:00,13-01-2019 04:00,119.08
13-01-2019 04:00,13-01-2019 08:00,175.73
13-01-2019 08:00,13-01-2019 12:00,128.07
13-01-2019 12:00,13-01-2019 16:00,84.67
13-01-2019 16:00,13-01-2019 20:00,97.6
